Wavelength,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v)
9.380863039,0.0008529,0.00110877,-0.00400863,0.0042645,-0.000321,-8.03E-05,0,0.8025
9.389671362,0.0011907,0.00229635,-0.001701,0.0047628,-0.00112966,0,0,0.8069
9.398496241,0.00186516,0.0029673,0.00203472,0.004239,-0.00064928,0.00048696,0,0.8116
9.407337723,0.00152046,0.00143599,0.00371668,0.00380115,0.00016324,0.00089782,0,0.8162
9.416195857,0.0005046,-8.41E-05,0.0026071,0.0031958,0.0008201,0.00073809,0,0.8201
9.425070688,0.00050226,-0.00033484,0.00041855,0.00192533,0.00107068,0.00107068,0,0.8236
9.433962264,0.00108329,0.00066664,8.33E-05,0.00074997,0.0005789,0.0009924,0,0.827
9.442870633,0.00107848,0.00223992,0.00132736,0.00049776,0.00024909,0.00041515,0,0.8303
9.451795841,0.00049548,0.00156902,0.00140386,0.00115612,0.00024993,0.0008331,0,0.8331
9.460737938,-8.22E-05,0.0005754,-8.22E-05,0.0013974,0.00050124,0.00158726,0,0.8354
9.46969697,-0.00073647,0,-0.0008183,8.18E-05,0.0015075,0.00134,0,0.8375
9.478672986,-0.00138499,-0.00097764,0,-0.00138499,0.00234892,8.39E-05,0,0.8389
9.487666034,-0.00097332,-0.00089221,0.00137887,-0.00129776,0.00184668,-0.00025182,0,0.8394
9.496676163,8.08E-05,0.00024228,0.002019,-0.00104988,0.00092312,0.00025176,0,0.8392
9.505703422,0.00056287,0.00136697,0.00104533,-0.00192984,0.00134208,0.00025164,0,0.8388
9.514747859,0.00128128,0.00112112,-0.00144144,-0.002002,0.0024302,0.0001676,0,0.838
9.523809524,0.00191424,0.00047856,-0.00255232,-0.00063808,0.00192395,0.0003346,0,0.8365
9.532888465,0.00111286,0.0007949,-0.00055643,0.00071541,0.00033396,0.00050094,0,0.8349
9.541984733,0.00055503,0.00103077,0.00182367,0.00103077,-0.00025005,0.0001667,0,0.8335
9.551098376,0.00047478,0.00134521,0.00102869,-7.91E-05,-0.0003328,0.0003328,0,0.832
9.560229446,-0.0001579,0.0009474,-0.0014211,-0.00055265,-0.00033188,0.00182534,0,0.8297
9.56937799,-0.00023637,0.00047274,-0.00220612,0.00102427,0.00099264,0.00314336,0,0.8272
9.578544061,0.0007872,0.0011808,-0.00086592,0.00228288,0.00297108,0.00255843,0,0.8253
9.587727709,0.00180987,0.00125904,0.00094428,0.00180987,0.00387186,0.0016476,0,0.8238
9.596928983,0.00133688,0.00023592,0.00062912,0.0007864,0.00345198,0.0016438,0,0.8219
9.606147935,-0.00023574,-0.00055006,-0.00110012,0.0003929,0.00237713,0.00106561,0,0.8197
9.615384615,-0.00102141,-0.00039285,-0.00023571,0.00023571,0.00171801,0.00073629,0,0.8181
9.624639076,-0.00031448,0.0007862,0.00212274,-0.00062896,0.00196104,0.00089881,0,0.8171
9.633911368,0.00125904,0.00173118,0.00196725,-0.0015738,0.00220293,0.0008159,0,0.8159
9.643201543,0.00197,0.00197,-0.0002364,-0.0011032,0.00138414,0.00073278,0,0.8142
9.652509653,0.00149929,0.00134147,-0.00142038,0.00039455,0.00016252,0.00065008,0,0.8126
9.661835749,0.00134402,0.0003953,-0.00086966,0.00102778,-0.000406,0.0005684,0,0.812
9.671179884,0.00190176,0.00103012,0.00023772,0.00071316,-0.00064912,-0.00032456,0,0.8114
9.68054211,0.00174834,0.0023841,0,0.00055629,-0.00048624,-0.00089144,0,0.8104
9.689922481,0.00143496,0.00231188,-0.00151468,0.00047832,-0.00024279,-0.00064744,0,0.8093
