,Time(ms),BB Temp,T1CA(v),T1CB(v),T1CC(v),T1CD(v),T2CA(v),T2CB(v),T2CC(v),T2CD(v),T1Therm(c),T2Therm(c)
34329,38777024,10,0.5140740416999999,0.5082368821333333,0.4823444126,0.5755715860333334,0.4208394294,0.5974031175666668,0.4886927729333334,0.49294870496666665,24.935749464266664,25.210111403200003
34330,38778153,10,0.5140161372333334,0.5081697854333334,0.4822727040666666,0.5755083773333333,0.4208129175,0.597374126,0.48866664653333336,0.4929390341333334,24.935592233933335,25.210046409166665
34331,38779282,10,0.5139743906333334,0.5081263537666667,0.4822280240666667,0.5754680587,0.42075848536666666,0.5973166883666666,0.4886231519333333,0.49293128040000006,24.935432673766666,25.209979361800002
34332,38780411,10,0.5139418113333334,0.5080925103666667,0.4821883781333333,0.5754300558666666,0.4207457316333333,0.5972993883666667,0.4886292075333334,0.4929455303333334,24.935279198666667,25.20991046833333
34333,38781540,10,0.5138882656,0.5080333667,0.4821196855666667,0.5753666780000001,0.4207409283333333,0.5972819703333333,0.4886231467,0.49294309786666674,24.935126231866665,25.20984064896667
34334,38782669,10,0.5138345625333333,0.5079774239333333,0.4820523712,0.5753055975666667,0.42072926299999996,0.5972654807,0.48861612863333337,0.4929465584,24.9349664687,25.20977329413333
34335,38783798,10,0.5138090026333333,0.5079598656,0.4820366146000001,0.5752928241666667,0.42073014156666666,0.5972589674666667,0.4886198422333334,0.4929555972,24.934807516766664,25.209706968733332
34336,38784927,10,0.5138765635666667,0.5080475235333334,0.48213792316666676,0.5753803496333333,0.42071903876666666,0.5972356079333333,0.48860200066666665,0.49294924656666667,24.934656369733336,25.2096374614
34337,38786056,10,0.5139610625666666,0.5081425247666667,0.4822381866666667,0.5754707586666666,0.42068470100000005,0.5971929224,0.4885643964333334,0.4929361925666667,24.934508169633332,25.209567849366668
34338,38787185,10,0.5140244037,0.5082146673666667,0.4823061632666667,0.57553635,0.4206417847,0.5971456932333333,0.48853690366666674,0.4929405408333334,24.93435875396667,25.2094947457
34339,38788314,10,0.5140781212,0.5082715110333333,0.48235221619999996,0.5755892571,0.4206475479,0.5971426287,0.4885517305666666,0.49295994286666667,24.934206696266664,25.20942133626667
34340,38789443,10,0.5141386194333334,0.5083341165333334,0.4824118463666666,0.5756529955666667,0.42068998426666665,0.5971782423333333,0.48859248713333336,0.49297516840000005,24.934056969133334,25.209353266
34341,38790572,10,0.5141910269666667,0.5083851353666667,0.4824641056999999,0.5757089173666666,0.4207047115,0.5971876968333333,0.4886015154333333,0.49297175116666664,24.933905427333336,25.209284884699997
34342,38791701,10,0.5142186652666666,0.5084051943666666,0.48247965643333335,0.5757314114666667,0.42067179520000003,0.5971474424666666,0.4885584837333333,0.4929557021333333,24.933756823066666,25.209291048833332
34343,38792830,10,0.5141871258333333,0.5083617286333333,0.4824320024,0.5756948772666667,0.4206303397,0.5971037538,0.48852480816666666,0.49295373386666674,24.933604872,25.2092935144
34344,38793959,10,0.5141306690333334,0.5082957439000001,0.4823591189,0.5756360037333333,0.42059324556666666,0.5970640331333333,0.4884992443333333,0.4929568468999999,24.933451095133332,25.20929741806667
34345,38795088,10,0.5141081789,0.5082821548666667,0.48235254930000004,0.5756345442333334,0.4205734134333333,0.5970349615666666,0.4884835349333333,0.49295683773333326,24.933293670166666,25.20930224643333
34346,38796217,10,0.5141450238666666,0.5083318689666667,0.4824064110333333,0.5756834322000001,0.4205469526666667,0.5970038102666667,0.48847101856666664,0.49296685869999995,24.933139799566668,25.2093112868
34347,38797346,10,0.5142018203000001,0.5083992712,0.4824726370666666,0.5757485029333334,0.42055384093333337,0.5970001779666667,0.48848054780000005,0.4929778133,24.932988867066666,25.209319094466668
34348,38798475,10,0.5142595766,0.5084714452666667,0.4825470259333334,0.575821928,0.4206083858666666,0.5970505529666666,0.4885410736,0.4930069347,24.93284148396667,25.209323922733336
34349,38799604,10,0.5143321794666667,0.5085546237999999,0.48263147380000004,0.5759058828333333,0.42067958566666663,0.5971213213333333,0.48860784509999994,0.493031241,24.932699271366666,25.209331318933334
34350,38800733,10,0.5143847718666666,0.5086051351666666,0.48266714776666664,0.5759494875666666,0.42073160633333334,0.5971704466333333,0.48863513199999997,0.4930318809333334,24.932552499266667,25.20934066706667
34351,38801862,10,0.5143630396333333,0.5085624640666666,0.48260354963333335,0.5759055077999999,0.42075744553333333,0.5971990854666667,0.4886487866,0.4930355788,24.932400658366667,25.209354432633333
34352,38802991,10,0.5143102243333333,0.5084955758666666,0.4825150078666667,0.5758353806666666,0.4208016469,0.5972450112000001,0.4886827493333333,0.4930533613666666,24.932249328433336,25.209368403766668
34353,38804120,10,0.5142719238,0.5084541689,0.48245920146666665,0.5757863563333333,0.4208304981666667,0.5972743148666667,0.4886943320666667,0.4930535134666667,24.93209637156667,25.2093812444
34354,38805249,10,0.5142469526666666,0.5084316433333333,0.48242722533333326,0.5757567668,0.42080380663333333,0.5972484730333333,0.4886557614333334,0.4930350791666667,24.931943416266666,25.209387921566666
34355,38806378,10,0.5142291071333334,0.5084128799,0.4824066601666667,0.5757371890666667,0.42069844613333335,0.5971425224333333,0.48855599099999997,0.49300115706666664,24.93179198773333,25.2093904897
34356,38807507,10,0.5141858066333334,0.5083560493666666,0.48233406909999993,0.5756701893999999,0.42058157896666665,0.5970256500000001,0.48847665723333333,0.4929984571,24.93163741676667,25.209394393399997
34357,38808636,10,0.5141310072999999,0.5083001354333333,0.48227065583333334,0.5756104622000001,0.4205611475666667,0.5969979513666667,0.48849273773333335,0.4930293408666667,24.931479101766666,25.209401789466668
34358,38809765,10,0.5141527788666667,0.5083379704333333,0.4823041465,0.5756347475333334,0.4205856715333333,0.5970083145666667,0.4885216637666667,0.4930418297000001,24.931326865766664,25.209411239866668
34359,38810894,10,0.5141922543333333,0.5083873658666666,0.4823407843,0.5756643750666667,0.42061505913333336,0.5970258886333333,0.48854579563333334,0.49304717719999996,24.9311777743,25.20941586226667
34360,38812023,10,0.5142154053666667,0.5084133716,0.48236936020000004,0.5756883220666668,0.42064088126666666,0.5970460722,0.48857549663333333,0.49305736603333333,24.931026249666665,25.2094211011
34361,38813152,10,0.5142336141,0.5084282404333333,0.48239348816666666,0.5757157073,0.4206479715,0.5970491983333334,0.4885811444,0.4930579312,24.9308700632,25.2094301405
34362,38814281,10,0.5142972896333333,0.5084988357,0.48247240886666665,0.5757952771333333,0.42064074096666665,0.5970337997,0.4885697216666667,0.49305477750000004,24.9307172168,25.209441542233332
34363,38815410,10,0.5143915840666667,0.5086095515666667,0.4825890492,0.5759119082999999,0.42063790593333333,0.5970219284666666,0.48857123229999994,0.4930628459333333,24.930569438466666,25.2094461647
34364,38816539,10,0.5145135076333334,0.5087468632666666,0.4827290477333333,0.5760480765666666,0.42064867303333336,0.5970288036,0.4885867712333333,0.4930703911666667,24.9304307833,25.2094524307
34365,38817668,10,0.5146420165666666,0.5088970781666666,0.4828923966333334,0.5762071650666667,0.42067464206666666,0.5970483761,0.4886151019,0.49308038986666664,24.93028868136667,25.209458593766666
34366,38818797,10,0.5148048698,0.5090791708333334,0.4830874607,0.5763960608,0.42072746916666665,0.5970995837666667,0.48867382856666663,0.49310761773333334,24.930146074866663,25.209468968133336
34367,38819926,10,0.5149524148999999,0.5092443739333333,0.48325714976666667,0.5765631351333333,0.4207942078666667,0.5971645889666667,0.4887293346666667,0.4931210035,24.930005801066667,25.209484170333333
34368,38821055,10,0.5150616254,0.5093521603333333,0.48336682053333335,0.5766808795666667,0.4208381338666667,0.5972051226,0.48875058299999996,0.4931201944,24.9298680643,25.20949906463333
34369,38822184,10,0.5151475157,0.5094365124666667,0.4834489106666666,0.5767742993666667,0.4209003446666667,0.5972717131333334,0.48880880220000006,0.4931464099333333,24.929728398033333,25.2095131374
34370,38823347,10,0.5152517130666666,0.5095463969666667,0.48356284183333326,0.5768953456666666,0.4209935061,0.5973672625,0.4888858372666667,0.4931729087333334,24.9296647118,25.209439946933333
34371,38824476,10,0.5153902141000001,0.5096995387000001,0.48371664706666667,0.5770498249333333,0.42110114303333335,0.5974738818666666,0.4889624094333334,0.49319104143333337,24.929602343966668,25.209371273533336
34372,38825605,10,0.5155489629666666,0.5098747404999999,0.48389765660000006,0.5772274159,0.421165389,0.5975400488666667,0.4889914495333334,0.49319369946666675,24.929544338733333,25.20930126456667
34373,38826734,10,0.5156791162666667,0.5100067742,0.4840189455000001,0.5773532891000001,0.42119901863333337,0.597575833,0.4890025287333333,0.4931949976666667,24.929486840233334,25.20922961113333
34374,38827863,10,0.5157569971333333,0.5100813177666665,0.4840875856,0.5774335342333333,0.42120785943333333,0.5975913299666666,0.48899575190000005,0.4931886758666666,24.929427616966667,25.2091567266
34375,38828992,10,0.5158232952333334,0.5101390071666666,0.48412878276666665,0.5774891872000001,0.42118277553333333,0.5975716315999999,0.4889644327666666,0.4931816813999999,24.929372958633333,25.209083744266668
34376,38830121,10,0.5158550024999999,0.5101579358333334,0.48414416303333335,0.5775171166333334,0.4211193360333333,0.5975113982666667,0.4889031884,0.49316222693333334,24.929314854266668,25.209005320033334
34377,38831250,10,0.5158659833333333,0.5101629397333333,0.4841412178666667,0.5775234606999999,0.42105081003333333,0.5974450647333334,0.48885752493333334,0.4931639395,24.929258170133334,25.2089280227
34378,38832379,10,0.5158712115,0.5101675607666667,0.48413803536666666,0.5775259902,0.42102329893333335,0.5974146373,0.4888491706333334,0.4931718951666667,24.929196210500002,25.208848878666668
34379,38833508,10,0.5158914239000001,0.5101945093666667,0.4841589886666667,0.5775484317999999,0.42101155096666665,0.5974005264,0.4888518718999999,0.4931826177,24.929138711333334,25.2087718921
34380,38834637,10,0.5159460462000001,0.5102604088333332,0.4842253103666667,0.5776102623333333,0.4210071397666667,0.5973928513666666,0.48885341136666666,0.4931847970666666,24.929083749233335,25.208696237433337
34381,38835766,10,0.5159831403333334,0.5103032858000001,0.48425691670000004,0.5776451010333333,0.4209618552666667,0.5973440958333334,0.48880375103333334,0.49316331399999996,24.92902777313333,25.208618835766668
34382,38836895,10,0.5159940988666666,0.5103147361000001,0.48426846403333335,0.5776607566666666,0.42088426290000003,0.5972659370000001,0.48874783973333336,0.4931606822,24.928967943966665,25.20853691876667
34383,38838024,10,0.5160267607666666,0.5103582778666667,0.4843157404000001,0.5777088106333333,0.4208519393,0.5972260852333334,0.48873645763333334,0.4931780268,24.9289081118,25.2084550041
